Year,NumAthletes,NumWomen,NumMale
1896,380,0,380
1900,1936,33,1903
1904,1301,16,1285
1906,1733,11,1722
1908,3101,47,3054
1912,4040,87,3953
1920,4292,134,4158
1924,5233,244,4989
1928,4992,404,4588
1932,2969,347,2622
1936,6506,468,6038
1948,6405,628,5777
1952,8270,1497,6773
1956,5127,893,4234
1960,8119,1435,6684
1964,7702,1348,6354
1968,8588,1777,6811
1972,10304,2193,8111
1976,8641,2172,6469
1980,7191,1756,5435
1984,9454,2447,7007
1988,12037,3543,8494
1992,12977,4124,8853
1996,13780,5008,8772
2000,13821,5431,8390
2004,13443,5546,7897
2008,13602,5816,7786
2012,12920,5815,7105
2016,13688,6223,7465