Year,NumAthletes,NumWomen,NumMale
1924,460,17,443
1928,582,33,549
1932,352,22,330
1936,895,81,814
1948,1075,133,942
1952,1088,185,903
1956,1307,246,1061
1960,1116,295,821
1964,1778,404,1374
1968,1891,416,1475
1972,1655,415,1240
1976,1861,434,1427
1980,1746,430,1316
1984,2134,536,1598
1988,2639,680,1959
1992,3436,1054,2382
1994,3160,1105,2055
1998,3605,1384,2221
2002,4109,1582,2527
2006,4382,1757,2625
2010,4402,1847,2555
2014,4891,2023,2868